Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
15765636,1/20/10 0:00,2/9/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11420,116-11 120 STREET,120 STREET,ROCKAWAY BOULEVARD,SUTTER AVENUE,,,ADDRESS,SOUTH OZONE PARK,,N/A,Closed,2/19/10 0:00,2/9/10 0:00,10 QUEENS,QUEENS,1034658,185493,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67566867,-73.81827216,"(40.67566867316647, -73.81827216064679)"
15773853,1/21/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,10031,545 WEST 142 STREET,WEST 142 STREET,HAMILTON PLACE,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Assigned,2/20/10 0:00,1/22/10 0:00,09 MANHATTAN,MANHATTAN,997919,239486,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82399874,-73.95061154,"(40.823998737228465, -73.9506115438982)"
15782701,1/22/10 0:00,1/22/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10465,923 HUNTINGTON AVENUE,HUNTINGTON AVENUE,LAFAYETTE AVENUE,BARKLEY AVENUE,,,ADDRESS,BRONX,,N/A,Closed,2/21/10 0:00,1/22/10 0:00,10 BRONX,BRONX,1031152,240875,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.82769719,-73.83052546,"(40.827697193673266, -73.83052546308947)"
15793276,1/24/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,11379,65-27 77 STREET,77 STREET,65 DRIVE,JUNIPER VALLEY ROAD,,,ADDRESS,MIDDLE VILLAGE,,N/A,Assigned,2/23/10 0:00,1/25/10 0:00,05 QUEENS,QUEENS,1018294,200294,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.716372,-73.87719175,"(40.71637199553595, -73.87719174870381)"
15800109,1/25/10 0:00,1/25/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Odor,1-2 Family Dwelling,10465,1530 MCDONOUGH PLACE,MCDONOUGH PLACE,BRUCKNER BOULEVARD,MIDDLETOWN ROAD,,,ADDRESS,BRONX,,N/A,Closed,2/24/10 0:00,1/25/10 0:00,10 BRONX,BRONX,1032656,247185,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.84500817,-73.82504542,"(40.84500816813156, -73.8250454222872)"
15799957,1/25/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,3+ Family Apartment Building,11225,1185 CARROLL STREET,CARROLL STREET,NOSTRAND AVENUE,NEW YORK AVENUE,,,ADDRESS,BROOKLYN,,N/A,Assigned,2/24/10 0:00,1/25/10 0:00,09 BROOKLYN,BROOKLYN,998218,182333,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66712768,-73.9496499,"(40.66712768077816, -73.94964990195497)"
15806488,1/26/10 0:00,2/10/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Dwelling,10305,187 DONGAN HILLS AVENUE,DONGAN HILLS AVENUE,HUSSON STREET,VERA STREET,,,ADDRESS,STATEN ISLAND,,N/A,Closed,2/25/10 0:00,2/10/10 0:00,02 STATEN ISLAND,STATEN ISLAND,957596,152702,Unspecified,STATEN ISLAND,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.58576776,-74.09596197,"(40.58576776150975, -74.09596196557874)"
15809370,1/26/10 0:00,,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,10474,350 CASANOVA STREET,CASANOVA STREET,VIELE AVENUE,EAST BAY AVENUE,,,ADDRESS,BRONX,,N/A,Assigned,2/25/10 0:00,1/26/10 0:00,02 BRONX,BRONX,1015144,233393,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.80723172,-73.88840274,"(40.80723172063091, -73.88840274142167)"
15815755,1/27/10 0:00,2/10/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,Commercial Building,11428,215-45 JAMAICA AVENUE,JAMAICA AVENUE,215 PLACE,216 STREET,,,ADDRESS,QUEENS VILLAGE,,N/A,Closed,2/26/10 0:00,2/10/10 0:00,13 QUEENS,QUEENS,1056453,200748,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.71738898,-73.73953502,"(40.71738898022189, -73.73953502439859)"
15815522,1/27/10 0:00,2/11/10 0:00,DOHMH,Department of Health and Mental Hygiene,Unsanitary Pigeon Condition,Pigeon Waste,1-2 Family Mixed Use Building,11215,351 7 AVENUE,7 AVENUE,10 STREET,11 STREET,,,ADDRESS,BROOKLYN,,N/A,Closed,2/26/10 0:00,2/11/10 0:00,06 BROOKLYN,BROOKLYN,989193,181974,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.66615194,-73.98218235,"(40.666151944250146, -73.98218235381286)"
